order_id,timestamp,warehouse_id,city,hour,day_of_week,month,is_weekend,n_items,basket_value_eur,has_heavy_items,primary_category,active_orders,warehouse_utilization,available_riders,rider_utilization,distance_km,temperature_c,is_raining,rain_intensity_mm,wind_speed_kmh,pick_time_min,rider_wait_min,travel_time_min,delivery_time_min,promised_time_min,promise_kept
ORD-000000,2025-01-01 07:00:36,BER-02,Berlin,7,2,1,0,3,5.86,0,personal_care,24,0.4,3,6.0,1.71,-12.7,0,0.0,7.6,4.3,1.2,6.1,21.0,25,1
ORD-000001,2025-01-01 09:12:39,CGN-01,Cologne,9,2,1,0,7,22.09,0,fresh_produce,27,0.491,2,9.0,0.93,-12.5,0,0.0,12.3,5.9,0.6,3.9,10.4,10,0
ORD-000002,2025-01-01 09:33:38,HAM-01,Hamburg,9,2,1,0,5,9.32,0,frozen,18,0.257,2,6.0,0.75,-9.0,0,0.0,5.3,5.1,0.7,4.8,10.6,10,0
ORD-000003,2025-01-01 10:34:09,BER-01,Berlin,10,2,1,0,10,26.94,1,household,31,0.388,6,4.429,0.65,-8.7,0,0.0,14.8,8.5,0.1,1.7,10.3,10,0
ORD-000004,2025-01-01 10:35:11,CGN-01,Cologne,10,2,1,0,4,10.71,1,dairy,13,0.236,0,999.0,1.33,-5.1,1,4.4,31.8,4.8,5.4,6.7,16.9,15,0
ORD-000005,2025-01-01 11:17:09,DUS-01,Düsseldorf,11,2,1,0,3,7.33,0,personal_care,12,0.24,2,4.0,0.3,0.3,0,0.0,8.4,1.4,2.0,1.5,4.9,10,1
ORD-000006,2025-01-01 11:45:49,HAM-01,Hamburg,11,2,1,0,7,21.87,0,meat_fish,21,0.3,2,7.0,1.29,-6.1,1,1.9,8.1,5.7,0.9,4.2,10.8,10,0
ORD-000007,2025-01-01 11:49:14,MUC-01,Munich,11,2,1,0,4,6.09,1,household,27,0.36,3,6.75,2.31,-12.1,0,0.0,16.2,5.2,0.4,8.0,13.6,15,1
ORD-000008,2025-01-01 11:59:33,MUC-01,Munich,11,2,1,0,1,2.5,1,fresh_produce,12,0.16,2,4.0,0.57,-5.5,1,2.3,21.1,1.7,0.3,1.6,3.6,10,1
ORD-000009,2025-01-01 12:15:13,CGN-01,Cologne,12,2,1,0,8,13.88,1,household,42,0.764,6,6.0,0.36,-3.6,1,1.6,14.7,7.3,0.2,1.9,9.4,10,1
ORD-000010,2025-01-01 12:23:40,BER-01,Berlin,12,2,1,0,3,11.18,0,beverages,69,0.862,15,4.312,1.25,-8.3,0,0.0,12.8,5.1,0.3,4.1,15.2,15,0
